epoch;loss;train_acc;train_auprc;train_auroc;train_dem_val;train_dem_var;train_fnr;train_fpr;train_minpse;train_nb;train_ppr;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_dem_val;val_dem_var;val_fnr;val_fpr;val_loss;val_minpse;val_nb;val_ppr;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
0;0.34168562193786034;0.877937;0.480345;0.825753;;;0.815299;0.01355;0.475591;14681;0.036714;0.885448;0.680891;0.135345;0.98645;0.184701;0.874612;0.470399;0.824075;;;0.807339;0.018665;0.30896512634964335;0.470183;3222;0.04221;0.885936;0.617647;0.13532;0.981335;0.192661
1;0.32414054819145155;0.880049;0.528367;0.851788;;;0.832914;0.00835;0.504278;14681;0.029834;0.883803;0.757991;0.135345;0.99165;0.167086;0.878647;0.521312;0.846027;;;0.832569;0.01005;0.29805617361872333;0.516854;3222;0.031347;0.883691;0.722772;0.13532;0.98995;0.167431
2;0.3149597257395129;0.880458;0.53074;0.850787;;;0.829391;0.008429;0.505533;14681;0.030379;0.884229;0.76009;0.135345;0.991571;0.170609;0.88144;0.529293;0.846812;;;0.830275;0.007179;0.2966012320325731;0.496599;3222;0.029174;0.884271;0.787234;0.13532;0.992821;0.169725
3;0.3093615891123261;0.884136;0.534227;0.847596;;;0.730247;0.019694;0.504781;14681;0.053539;0.895574;0.681934;0.135345;0.980306;0.269753;0.88175;0.529526;0.84404;;;0.715596;0.024767;0.2927492647613893;0.505721;3222;0.059901;0.896996;0.642487;0.13532;0.975233;0.284404
4;0.3053170012598279;0.887678;0.563873;0.863711;;;0.682436;0.023082;0.539738;14681;0.062938;0.901432;0.6829;0.135345;0.976918;0.317564;0.887027;0.550758;0.852768;;;0.667431;0.026202;0.28563626634545536;0.506881;3222;0.06766;0.903129;0.665138;0.13532;0.973798;0.332569
5;0.3028356302568905;0.888632;0.563852;0.86387;;;0.686462;0.021349;0.531958;14681;0.060895;0.901066;0.696868;0.135345;0.978651;0.313538;0.882061;0.551053;0.85285;;;0.690367;0.028356;0.28594935138280314;0.518349;3222;0.066418;0.899934;0.630841;0.13532;0.971644;0.309633
6;0.3018107582775597;0.888632;0.574835;0.867239;;;0.752894;0.01095;0.542023;14681;0.042913;0.893531;0.779365;0.135345;0.98905;0.247106;0.885164;0.554314;0.855743;;;0.766055;0.012922;0.2846512114322755;0.520642;3222;0.042831;0.891699;0.73913;0.13532;0.987078;0.233945
7;0.3027303061978944;0.886588;0.565277;0.86531;;;0.764972;0.011423;0.532964;14681;0.041687;0.891961;0.763072;0.135345;0.988577;0.235028;0.880819;0.540039;0.854471;;;0.772936;0.01687;0.28780315234137943;0.509174;3222;0.045313;0.890442;0.678082;0.13532;0.98313;0.227064
8;0.2993369756704065;0.88979;0.575989;0.869494;;;0.72773;0.01355;0.53997;14681;0.048566;0.896478;0.758766;0.135345;0.98645;0.27227;0.882992;0.550907;0.858102;;;0.727064;0.021536;0.2839495770397355;0.513761;3222;0.055556;0.895826;0.664804;0.13532;0.978464;0.272936
9;0.2977090064281664;0.887337;0.568748;0.866095;;;0.740312;0.014416;0.535211;14681;0.047613;0.894793;0.738197;0.135345;0.985584;0.259688;0.884544;0.547588;0.853991;;;0.738532;0.017947;0.2863837457189717;0.511468;3222;0.0509;0.894702;0.695122;0.13532;0.98205310;nan
10;0.29983456050876245;0.888019;0.570472;0.868231;;;0.708103;0.01867;0.536487;14681;0.05565;0.898514;0.709914;0.135345;0.98133;0.291897;0.885475;0.550024;0.858009;;;0.704128;0.022254;0.2828689961978029;0.518349;3222;0.05928;0.898713;0.675393;0.13532;0.977746;0.295872
11;0.2956623074706898;0.887474;0.58252;0.87194;;;0.752391;0.012368;0.546553;14681;0.044207;0.893458;0.758089;0.135345;0.987632;0.247609;0.884233;0.559308;0.859417;;;0.761468;0.014716;0.2838967027666405;0.530892;3222;0.045003;0.892103;0.717241;0.13532;0.985284;0.238532
12;0.2944456429276751;0.88652;0.582646;0.871786;;;0.791646;0.007326;0.540513;14681;0.034534;0.889022;0.816568;0.135345;0.992674;0.208354;0.884544;0.557753;0.85789;;;0.798165;0.008615;0.28422577525150844;0.506881;3222;0.034761;0.888103;0.785714;0.13532;0.991386;0.201835
13;0.2909213886477952;0.89122;0.585779;0.875368;;;0.692501;0.01741;0.547739;14681;0.056672;0.900643;0.734375;0.135345;0.98259;0.307499;0.883923;0.554671;0.859573;;;0.697248;0.025126;0.28288216031000973;0.520642;3222;0.062694;0.899338;0.653465;0.13532;0.974874;0.302752
14;0.2907865494763719;0.889449;0.579375;0.874012;;;0.714645;0.015992;0.544769;14681;0.052449;0.897923;0.736364;0.135345;0.984008;0.285355;0.882992;0.551974;0.859268;;;0.713303;0.02369;0.28289899406671376;0.522936;3222;0.05928;0.897394;0.65445;0.13532;0.97631;0.286697
15;0.29133920103960376;0.889108;0.590366;0.875198;;;0.75994;0.009296;0.551533;14681;0.040529;0.892801;0.801681;0.135345;0.990704;0.24006;0.883613;0.552348;0.857602;;;0.772936;0.01364;0.28357100747595065;0.516055;3222;0.04252;0.890762;0.722628;0.13532;0.98636;0.227064
16;0.2892970981315645;0.891084;0.59937;0.879655;;;0.714645;0.014101;0.562657;14681;0.050814;0.898098;0.760054;0.135345;0.985899;0.285355;0.882992;0.556637;0.856102;;;0.727064;0.021536;0.2839994828600013;0.536697;3222;0.055556;0.895826;0.664804;0.13532;0.978464;0.272936
17;0.2872329184038321;0.891152;0.594324;0.877324;;;0.725717;0.012289;0.552592;14681;0.047749;0.896853;0.777461;0.135345;0.987711;0.274283;0.884544;0.55398;0.860574;;;0.729358;0.019383;0.2804076776213708;0.527523;3222;0.053383;0.895738;0.686047;0.13532;0.980617;0.270642
18;0.2905500543721649;0.890471;0.599727;0.877406;;;0.738802;0.011029;0.555723;14681;0.044888;0.895307;0.787557;0.135345;0.988971;0.261198;0.882682;0.557845;0.862918;;;0.754587;0.017588;0.28201638789261296;0.527523;3222;0.048417;0.892694;0.685897;0.13532;0.982412;0.245413
19;0.28658444765749924;0.890743;0.597803;0.878865;;;0.741319;0.01032;0.548062;14681;0.043934;0.895056;0.796899;0.135345;0.98968;0.258681;0.883613;0.553797;0.856094;;;0.761468;0.015434;0.2859850617011166;0.529817;3222;0.045624;0.892033;0.707483;0.13532;0.984566;0.238532
20;0.286201210707623;0.890675;0.595986;0.880906;;;0.696527;0.01741;0.552089;14681;0.056127;0.900123;0.731796;0.135345;0.98259;0.303473;0.879888;0.55139;0.857503;;;0.71789;0.026561;0.28237873939930247;0.521542;3222;0.061142;0.896529;0.624366;0.13532;0.973439;0.28211
21;0.28584239242792403;0.890334;0.597805;0.879307;;;0.721188;0.013944;0.550579;14681;0.049792;0.897276;0.757866;0.135345;0.986056;0.278812;0.882682;0.558181;0.859818;;;0.738532;0.020101;0.28325910615132954;0.518349;3222;0.052762;0.894495;0.670588;0.13532;0.9799;0.261468
22;0.28846055211069355;0.891084;0.598667;0.879562;;;0.73075;0.01158;0.541981;14681;0.046455;0.896278;0.784458;0.135345;0.98842;0.26925;0.884233;0.554664;0.857605;;;0.747706;0.01687;0.2851053160897957;0.514874;3222;0.048727;0.893638;0.700637;0.13532;0.98313;0.252294
23;0.2846701542704315;0.895307;0.613264;0.884641;;;0.675893;0.015283;0.562657;14681;0.057081;0.902983;0.768496;0.135345;0.984717;0.324107;0.885475;0.557258;0.860229;;;0.681193;0.025844;0.2807870437914285;0.509174;3222;0.065487;0.901362;0.658768;0.13532;0.974156;0.318807
24;0.2843401139804684;0.895103;0.623579;0.887445;;;0.694514;0.012604;0.57265;14681;0.052244;0.900819;0.791395;0.135345;0.987396;0.305486;0.888579;0.567295;0.863474;;;0.706422;0.018306;0.2773251149740965;0.53211;3222;0.055556;0.898784;0.715084;0.13532;0.981694;0.293578
25;0.28331860042253326;0.891288;0.619261;0.886013;;;0.742828;0.009453;0.563161;14681;0.042981;0.894947;0.809826;0.135345;0.990547;0.257172;0.884233;0.562732;0.860208;;;0.768349;0.01364;0.2840388106132501;0.522321;3222;0.043141;0.89134;0.726619;0.13532;0.98636;0.231651
26;0.2831196202867671;0.89156;0.62209;0.887581;;;0.744841;0.008823;0.574447;14681;0.042163;0.894752;0.819063;0.135345;0.991177;0.255159;0.883302;0.56244;0.86234;;;0.772936;0.013999;0.2808169369544767;0.52381;3222;0.042831;0.890726;0.717391;0.13532;0.986001;0.227064
27;0.2803837834002841;0.894421;0.619314;0.884762;;;0.702063;0.01221;0.566901;14681;0.050882;0.899885;0.792503;0.135345;0.98779;0.297937;0.884854;0.560482;0.860293;;;0.713303;0.021536;0.28029881988916244;0.516055;3222;0.057418;0.897596;0.675676;0.13532;0.978464;0.286697
28;0.28405097034063215;0.894762;0.620909;0.886506;;;0.670357;0.01678;0.565566;14681;0.059124;0.903569;0.754608;0.135345;0.98322;0.329643;0.882061;0.557526;0.859472;;;0.688073;0.028715;0.2834584549541136;0.515982;3222;0.067039;0.9002;0.62963;0.13532;0.971285;0.311927
29;0.28514675055896627;0.892514;0.619113;0.885489;;;0.733266;0.009532;0.566683;14681;0.044343;0.896151;0.814132;0.135345;0.990468;0.266734;0.884854;0.559;0.860819;;;0.745413;0.016511;0.2832746206234139;0.522936;3222;0.048727;0.893964;0.707006;0.13532;0.983489;0.254587
30;0.28401036889901743;0.897078;0.63401;0.891359;;;0.677906;0.012919;0.580775;14681;0.054765;0.902933;0.79602;0.135345;0.987081;0.322094;0.885475;0.560365;0.862719;;;0.711009;0.021177;0.28153176815205666;0.518349;3222;0.057418;0.897926;0.681081;0.13532;0.978823;0.288991
31;0.2809566934052219;0.894353;0.624272;0.887529;;;0.70307;0.012132;0.575956;14681;0.050678;0.899763;0.793011;0.135345;0.987868;0.29693;0.887647;0.563789;0.864413;;;0.713303;0.018306;0.28141715225643954;0.527523;3222;0.054624;0.897899;0.710227;0.13532;0.981694;0.286697
32;0.2783561601872487;0.893468;0.621184;0.88721;;;0.710619;0.011974;0.571141;14681;0.04952;0.89881;0.790922;0.135345;0.988026;0.289381;0.884233;0.560587;0.862241;;;0.733945;0.019024;0.2812076233059149;0.517241;3222;0.052452;0.895185;0.686391;0.13532;0.980976;0.266055
33;0.280957761277791;0.896669;0.632783;0.891762;;;0.67388;0.014022;0.57998;14681;0.056263;0.903356;0.784504;0.135345;0.985978;0.32612;0.884544;0.559238;0.863434;;;0.706422;0.022972;0.27857842406895056;0.525229;3222;0.05959;0.89835;0.666667;0.13532;0.977028;0.293578
34;0.27960860843607616;0.897487;0.642209;0.893685;;;0.669854;0.013707;0.584298;14681;0.056536;0.903906;0.790361;0.135345;0.986293;0.330146;0.888268;0.567493;0.862976;;;0.704128;0.019024;0.2783077259765953;0.525843;3222;0.056487;0.899013;0.708791;0.13532;0.980976;0.295872
35;0.279240970533245;0.895103;0.631222;0.892268;;;0.695521;0.012447;0.577755;14681;0.051972;0.900704;0.792923;0.135345;0.987553;0.304479;0.884854;0.549107;0.856158;;;0.724771;0.019742;0.28531201322540445;0.509174;3222;0.054314;0.896291;0.685714;0.13532;0.980258;0.275229
36;0.2776821607613578;0.898236;0.644346;0.893616;;;0.674887;0.012053;0.581278;14681;0.054424;0.9034;0.808511;0.135345;0.987947;0.325113;0.887337;0.557001;0.860234;;;0.697248;0.021177;0.28123303005630224;0.525229;3222;0.05928;0.899703;0.691099;0.13532;0.978823;0.302752
37;0.2792008038774903;0.896056;0.64148;0.895385;;;0.708606;0.009296;0.578762;14681;0.047476;0.899314;0.830703;0.135345;0.990704;0.291394;0.886716;0.548569;0.858356;;;0.724771;0.017588;0.2829388482629106;0.506881;3222;0.052452;0.896495;0.710059;0.13532;0.982412;0.275229
38;0.2769571516124127;0.895988;0.631966;0.893611;;;0.659789;0.017016;0.575453;14681;0.060759;0.904924;0.757848;0.135345;0.982984;0.340211;0.882371;0.54788;0.858663;;;0.701835;0.026202;0.2831108378538946;0.516055;3222;0.063004;0.898642;0.640394;0.13532;0.973798;0.298165
39;0.271655886056551;0.891424;0.614061;0.884202;;;0.724207;0.01221;0.568193;14681;0.047885;0.897053;0.779516;0.135345;0.98779;0.275793;0.884544;0.547697;0.855231;;;0.743119;0.017229;0.29052622824870306;0.511468;3222;0.049659;0.894187;0.7;0.13532;0.982771;0.256881
40;0.2769474963235129;0.900143;0.649437;0.898227;;;0.639658;0.015362;0.592854;14681;0.062053;0.907698;0.78595;0.135345;0.984638;0.360342;0.886096;0.55289;0.858158;;;0.672018;0.026561;0.28212029678362044;0.509174;3222;0.067349;0.902496;0.658986;0.13532;0.973439;0.327982
41;0.2748956400696811;0.899394;0.651129;0.896376;;;0.678913;0.010084;0.586814;14681;0.052176;0.903054;0.832898;0.135345;0.989917;0.321087;0.885785;0.558937;0.860168;;;0.729358;0.017947;0.28423114380874964;0.529817;3222;0.052142;0.895874;0.702381;0.13532;0.982053;0.270642
42;0.27465498474061867;0.899121;0.646753;0.894978;;;0.665828;0.012447;0.586311;14681;0.055991;0.904539;0.807786;0.135345;0.987553;0.334172;0.885785;0.550506;0.855269;;;0.694954;0.023331;0.2868331390543431;0.50905;3222;0.061453;0.899802;0.671717;0.13532;0.976669;0.305046
43;0.2741792002278827;0.897827;0.64374;0.896002;;;0.671867;0.012998;0.584801;14681;0.05565;0.903707;0.798042;0.135345;0.987002;0.328133;0.886406;0.546165;0.856514;;;0.690367;0.023331;0.286480651431891;0.509978;3222;0.062073;0.900397;0.675;0.13532;0.976669;0.309633
44;0.27336187462769834;0.899802;0.651979;0.899237;;;0.656266;0.013156;0.59386;14681;0.057898;0.905719;0.803529;0.135345;0.986844;0.343734;0.886406;0.54804;0.856848;;;0.683486;0.024408;0.2847440170943922;0.504587;3222;0.063935;0.901194;0.669903;0.13532;0.975592;0.316514
45;0.27266714404478004;0.901505;0.659683;0.900171;;;0.645194;0.012919;0.597586;14681;0.059192;0.907182;0.811277;0.135345;0.987081;0.354806;0.888268;0.557438;0.855556;;;0.683486;0.022254;0.28493381747866103;0.518349;3222;0.062073;0.90139;0.69;0.13532;0.977746;0.316514
46;0.272002190552963;0.901165;0.660307;0.901143;;;0.630599;0.015598;0.597586;14681;0.063483;0.908866;0.787554;0.135345;0.984402;0.369401;0.887337;0.55551;0.856269;;;0.667431;0.025844;0.2821387680077464;0.503417;3222;0.067349;0.903161;0.668203;0.13532;0.974156;0.332569
47;0.2737746866595379;0.899189;0.66162;0.901907;;;0.67388;0.011108;0.598893;14681;0.053743;0.903614;0.821293;0.135345;0.988892;0.32612;0.888268;0.562531;0.858772;;;0.701835;0.019383;0.28244563779480925;0.523918;3222;0.057107;0.899276;0.706522;0.13532;0.980617;0.298165
48;0.27336839815124275;0.895647;0.647923;0.895686;;;0.718671;0.008193;0.582788;14681;0.04516;0.898131;0.843137;0.135345;0.991807;0.281329;0.886406;0.555943;0.860957;;;0.75;0.013999;0.2853706434882442;0.519362;3222;0.045934;0.893624;0.736486;0.13532;0.986001;0.25
